UserID,Name,Latitude,Longitude,Soccer,Visual Arts,Hiking,Cooking,Style,Languages,Basketball,Performing Arts,Camping,Dining,Thrifting,Workshops,Volleyball,Literature & Writing,Wildlife,Drinks,Home Decor,Academics,Running,Music,Gardening,Street Food,Beauty,Self-Help,Cycling,Film,Adventure,Food Markets,Accessories,Books,Monday_hour_0,Monday_hour_1,Monday_hour_2,Monday_hour_3,Monday_hour_4,Monday_hour_5,Monday_hour_6,Monday_hour_7,Monday_hour_8,Monday_hour_9,Monday_hour_10,Monday_hour_11,Monday_hour_12,Monday_hour_13,Monday_hour_14,Monday_hour_15,Monday_hour_16,Monday_hour_17,Monday_hour_18,Monday_hour_19,Monday_hour_20,Monday_hour_21,Monday_hour_22,Monday_hour_23,Tuesday_hour_0,Tuesday_hour_1,Tuesday_hour_2,Tuesday_hour_3,Tuesday_hour_4,Tuesday_hour_5,Tuesday_hour_6,Tuesday_hour_7,Tuesday_hour_8,Tuesday_hour_9,Tuesday_hour_10,Tuesday_hour_11,Tuesday_hour_12,Tuesday_hour_13,Tuesday_hour_14,Tuesday_hour_15,Tuesday_hour_16,Tuesday_hour_17,Tuesday_hour_18,Tuesday_hour_19,Tuesday_hour_20,Tuesday_hour_21,Tuesday_hour_22,Tuesday_hour_23,Wednesday_hour_0,Wednesday_hour_1,Wednesday_hour_2,Wednesday_hour_3,Wednesday_hour_4,Wednesday_hour_5,Wednesday_hour_6,Wednesday_hour_7,Wednesday_hour_8,Wednesday_hour_9,Wednesday_hour_10,Wednesday_hour_11,Wednesday_hour_12,Wednesday_hour_13,Wednesday_hour_14,Wednesday_hour_15,Wednesday_hour_16,Wednesday_hour_17,Wednesday_hour_18,Wednesday_hour_19,Wednesday_hour_20,Wednesday_hour_21,Wednesday_hour_22,Wednesday_hour_23,Thursday_hour_0,Thursday_hour_1,Thursday_hour_2,Thursday_hour_3,Thursday_hour_4,Thursday_hour_5,Thursday_hour_6,Thursday_hour_7,Thursday_hour_8,Thursday_hour_9,Thursday_hour_10,Thursday_hour_11,Thursday_hour_12,Thursday_hour_13,Thursday_hour_14,Thursday_hour_15,Thursday_hour_16,Thursday_hour_17,Thursday_hour_18,Thursday_hour_19,Thursday_hour_20,Thursday_hour_21,Thursday_hour_22,Thursday_hour_23,Friday_hour_0,Friday_hour_1,Friday_hour_2,Friday_hour_3,Friday_hour_4,Friday_hour_5,Friday_hour_6,Friday_hour_7,Friday_hour_8,Friday_hour_9,Friday_hour_10,Friday_hour_11,Friday_hour_12,Friday_hour_13,Friday_hour_14,Friday_hour_15,Friday_hour_16,Friday_hour_17,Friday_hour_18,Friday_hour_19,Friday_hour_20,Friday_hour_21,Friday_hour_22,Friday_hour_23,Saturday_hour_0,Saturday_hour_1,Saturday_hour_2,Saturday_hour_3,Saturday_hour_4,Saturday_hour_5,Saturday_hour_6,Saturday_hour_7,Saturday_hour_8,Saturday_hour_9,Saturday_hour_10,Saturday_hour_11,Saturday_hour_12,Saturday_hour_13,Saturday_hour_14,Saturday_hour_15,Saturday_hour_16,Saturday_hour_17,Saturday_hour_18,Saturday_hour_19,Saturday_hour_20,Saturday_hour_21,Saturday_hour_22,Saturday_hour_23,Sunday_hour_0,Sunday_hour_1,Sunday_hour_2,Sunday_hour_3,Sunday_hour_4,Sunday_hour_5,Sunday_hour_6,Sunday_hour_7,Sunday_hour_8,Sunday_hour_9,Sunday_hour_10,Sunday_hour_11,Sunday_hour_12,Sunday_hour_13,Sunday_hour_14,Sunday_hour_15,Sunday_hour_16,Sunday_hour_17,Sunday_hour_18,Sunday_hour_19,Sunday_hour_20,Sunday_hour_21,Sunday_hour_22,Sunday_hour_23,JobCategory
1,Diana Morris,-33.93073387384206,150.91431076144954,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Student
2,Nicholas Sullivan,-33.72853924558936,150.71760620085922,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,9 to 5 Worker
3,Kayla Meyer,-33.9273329166086,151.12651932129708,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9 to 5 Worker
4,Javier Powell,-33.979144483309625,150.97578294325734,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9 to 5 Worker
5,Harold Knapp,-33.822606909016,151.08205207080243,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9 to 5 Worker
6,Aaron Fields,-33.952290652940874,151.06497729779736,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Student
7,Martin Zuniga,-33.787620102263205,150.67813120357334,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9 to 5 Worker
8,Carla Flynn,-33.88310381691734,151.14945475620144,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Student
9,Michael Thompson,-33.70185364179279,150.72083318577532,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Student
10,Jaime Martin Jr.,-33.763054175712355,150.77733040425187,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,Student
